Formula,Compound Name,CAS ID,Mass,RT,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_48_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T
1014.6565@11.239006,1014.6565@11.239006,,1014.6565,11.239006,,,,855173.0,821559.0,889682.0,816749.0,461775.0,777905.0,783459.0,751705.0,806156.0,886040.0,798719.0,725089.0,739952.0,976316.0,781643.0,670180.0,417766.0,785825.0,730654.0,824048.0,903398.0,714185.0,811502.0,761849.0,660637.0,941974.0,1006477.0,,1162889.0,907890.0,800441.0,948745.0,935236.0,835778.0,965861.0,800066.0,882319.0,980282.0,1111327.0,925013.0,972820.0,997292.0,839512.0,762727.0,946317.0,798676.0,869134.0,843949.0,855173.0,777905.0,783459.0,798719.0,781643.0,670180.0,824048.0,941974.0,1035390.0,935236.0,835778.0,980282.0,972820.0,839512.0,843949.0
1014.7425@14.219994,1014.7425@14.219994,,1014.7425,14.219994,,,,257615.0,,,,,,,,,,,,,,,,,82041.0,,,,,,,,,,,,,,,,,,,,,,,30918.0,26269.0,,,,199509.0,,118276.0,257615.0,,,,,82041.0,,,,,,,28594.0,,158892.0
1015.7474@13.768999,1015.7474@13.768999,,1015.7474,13.768998999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,28616.0,67035.0,161836.0,,,23247.0,33540.0,,,32580.0,23054.0,32218.0,,,,17758.0,,,,,,185141.0,,21482.0,,,,,,,,67035.0,23247.0,33540.0,32218.0,,17758.0,,103312.0
1016.5754@12.066997,1016.5754@12.066997,,1016.5754,12.066997,,,,,,28045.0,,,,,,16990.0,,,13589.0,,,,45157.0,,32856.0,,,15648.0,,,,26284.0,33113.0,47062.0,15052.0,58931.0,38766.0,,,,22269.0,27351.0,30464.0,,,,39413.0,51064.0,51580.0,,,,,,,28045.0,,16990.0,13589.0,,39006.0,15648.0,33113.0,38766.0,,27351.0,,51064.0,,
1016.6309@10.686002,1016.6309@10.686002,,1016.6309,10.686002,,,,67791.0,75632.0,77286.0,69382.0,42967.0,41852.0,44739.0,61673.0,49888.0,48582.0,60175.0,56029.0,61790.0,105529.0,80331.0,79626.0,35255.0,80632.0,69140.0,55764.0,90114.0,69802.0,73753.0,64144.0,52297.0,85095.0,82780.0,,81641.0,96492.0,154228.0,96450.0,,80425.0,157933.0,77430.0,62283.0,97201.0,67966.0,,111957.0,111276.0,106960.0,85239.0,102411.0,75014.0,77373.0,94136.0,75632.0,42967.0,49888.0,56029.0,80331.0,79626.0,69140.0,82780.0,89066.0,125339.0,80425.0,67966.0,111616.0,102411.0,77373.0
1016.754@14.226007,1016.754@14.226007,,1016.7539999999999,14.226007000000001,,,,355258.0,,,,,,,,,,,,,,,,,339359.0,,,,,,,49797.0,52870.0,,,28033.0,,,,,,,48923.0,,,,21745.0,54875.0,34276.0,,,,268606.0,,119602.0,355258.0,,,,,339359.0,,51334.0,28033.0,,48923.0,,34276.0,,194104.0
1017.6633@11.064001,1017.6633@11.064001,,1017.6633,11.064001,,,,124714.0,120225.0,,,,,,,,,,,,,,84225.0,,,,,,,,,45545.0,,,,,,,,,,,,,,,,,,,,,,,,122470.0,,,,,84225.0,,45545.0,,,,,,,
1017.7612@13.991005,1017.7612@13.991005,,1017.7612,13.991005,,,,,,,,,,,,,,,,,,,,,,,,,,,,84051.0,185443.0,361220.0,,24648.0,53812.0,78760.0,,,71949.0,53235.0,69748.0,,,,38786.0,36788.0,19528.0,,,,,,48378.0,,,,,,,,185443.0,39230.0,78760.0,69748.0,,36788.0,,48378.0
1018.7577@14.309004,1018.7577@14.309004,,1018.7577,14.309004000000002,,,,165120.0,,,,,,,,,,,,,,,,,185829.0,,,,,,,69581.0,116748.0,281865.0,,,34607.0,56233.0,,,50748.0,23339.0,48909.0,,,,,74107.0,,,,,146489.0,,67420.0,165120.0,,,,,185829.0,,116748.0,34607.0,56233.0,48909.0,,74107.0,,106954.0
1022.6013@12.2300005,1022.6013@12.2300005,,1022.6013,12.230000500000001,,,,35462.0,28926.0,53319.0,28064.0,,26503.0,21285.0,,28572.0,32405.0,27827.0,,41120.0,49024.0,31733.0,94856.0,24109.0,59060.0,25258.0,,58074.0,,,,133580.0,214528.0,252068.0,45889.0,278611.0,232741.0,60211.0,104064.0,61506.0,93933.0,110215.0,121555.0,43205.0,66790.0,119626.0,263155.0,343312.0,322242.0,58984.0,122121.0,125986.0,49940.0,46793.0,19617.0,35462.0,27284.0,24928.0,30116.0,41120.0,59060.0,41666.0,214528.0,232741.0,61506.0,110215.0,66790.0,322242.0,122121.0,46793.0
