Formula,Compound Name,CAS ID,Mass,RT,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,BlankSub_Median_53_T,BlankSub_Median_54_T,BlankSub_Median_55_T,BlankSub_Median_56_T,BlankSub_Median_57_T,BlankSub_Median_58_T,BlankSub_Median_59_T,BlankSub_Median_45_T,BlankSub_Median_46_T,BlankSub_Median_47_T,BlankSub_Median_48_T,BlankSub_Median_49_T,BlankSub_Median_50_T,BlankSub_Median_51_T,BlankSub_Median_52_T
710.4152@11.519997,710.4152@11.519997,,710.4152,11.519997,,,,,,,40411.0,,40668.0,,,,,,,,308095.0,342072.0,,22011.0,,,43184.0,44696.0,,172400.0,,92009.0,121651.0,112064.0,,145827.0,119358.0,63963.0,91979.0,74945.0,66578.0,78972.0,72769.0,,75603.0,93699.0,105473.0,118047.0,126642.0,59042.0,98551.0,108905.0,83169.0,,,,40540.0,,,325084.0,22011.0,43940.0,112064.0,132592.0,74945.0,72769.0,84651.0,118047.0,98551.0,83169.0
711.0401@1.1809999,711.0401@1.1809999,,711.0401,1.1809999,,,,18748.0,,,,,9962.0,,,15791.0,11361.0,,,,9543.0,,11452.0,,17330.0,,,16831.0,15679.0,,22069.0,102344.0,136352.0,177603.0,50217.0,139868.0,204936.0,81092.0,52288.0,52041.0,155867.0,119377.0,132645.0,72314.0,63221.0,52937.0,72714.0,78265.0,98452.0,45853.0,68247.0,58627.0,49370.0,80122.0,49192.0,18748.0,9962.0,15791.0,11361.0,9543.0,14391.0,16831.0,136352.0,139868.0,52288.0,132645.0,63221.0,78265.0,58627.0,49370.0
711.4765@12.552001,711.4765@12.552001,,711.4765,12.552000999999999,,,,69477.0,34077.0,96348.0,60819.0,33778.0,55248.0,62293.0,47766.0,67529.0,85724.0,89613.0,49682.0,104525.0,101269.0,91432.0,67800.0,39504.0,92762.0,67963.0,89342.0,97829.0,69597.0,89932.0,85431.0,210052.0,173449.0,170289.0,16844.0,67070.0,191993.0,177411.0,99043.0,103656.0,197683.0,160793.0,185106.0,64751.0,59962.0,143142.0,161702.0,164439.0,174223.0,33528.0,50533.0,29999.0,113409.0,102694.0,143160.0,69477.0,55248.0,62293.0,85724.0,101269.0,67800.0,89342.0,173449.0,67070.0,103656.0,185106.0,64751.0,164439.0,33528.0,113409.0
711.6502@14.572999,711.6502@14.572999,,711.6502,14.572999,,,,23405.0,,,,,,,,,,,,,,,,,32728.0,,,,,,,75665.0,135632.0,206162.0,,72738.0,97762.0,169704.0,27287.0,30564.0,87325.0,72870.0,95152.0,31633.0,31773.0,18048.0,62744.0,59148.0,54629.0,,,,25316.0,,117830.0,23405.0,,,,,32728.0,,135632.0,85250.0,30564.0,87325.0,31633.0,59148.0,,71573.0
711.6527@14.823994,711.6527@14.823994,,711.6527,14.823994,,,,23405.0,,,,,,,,,,,,,,,,,34449.0,,,,,,,85189.0,210950.0,389598.0,,67256.0,105311.0,200474.0,27279.0,,75776.0,50673.0,83991.0,25602.0,31773.0,,63749.0,67462.0,46764.0,,,,25316.0,,142053.0,23405.0,,,,,34449.0,,210950.0,86284.0,113876.0,75776.0,28688.0,63749.0,,83684.0
711.6529@14.258992,711.6529@14.258992,,711.6529,14.258992000000001,,,,58077.0,,,,,,,,,,,,,,,,,56632.0,,,,,,,270916.0,1012691.0,2345782.0,,354014.0,400829.0,835603.0,43780.0,61406.0,325737.0,128970.0,368878.0,24975.0,47011.0,18048.0,146551.0,152630.0,86692.0,,,,55220.0,,294735.0,58077.0,,,,,56632.0,,1012691.0,377422.0,61406.0,325737.0,24975.0,146551.0,,174978.0
712.4414@11.385003,712.4414@11.385003,,712.4414,11.385003,,,,91323.0,56469.0,92944.0,91582.0,46253.0,72630.0,51853.0,72117.0,78341.0,81522.0,83573.0,70642.0,78352.0,135217.0,,76704.0,54301.0,87786.0,80901.0,88606.0,,92688.0,95908.0,89257.0,54834.0,100163.0,110013.0,,163032.0,106177.0,,91066.0,52167.0,58206.0,132577.0,121768.0,124127.0,137883.0,63868.0,104242.0,121879.0,118237.0,,83306.0,66907.0,34043.0,160427.0,66923.0,91323.0,72630.0,72117.0,81522.0,106784.0,76704.0,84754.0,100163.0,134604.0,71616.0,121768.0,124127.0,118237.0,75106.0,66923.0
712.4649@12.700996,712.4649@12.700996,,712.4649,12.700996,,,,287937.0,261154.0,255523.0,,165951.0,,,211694.0,221472.0,,117254.0,200668.0,,260823.0,,265004.0,166182.0,232077.0,216664.0,,249721.0,239059.0,231379.0,234677.0,205610.0,233526.0,,,,,,201087.0,187936.0,207836.0,231140.0,185064.0,279177.0,263159.0,268767.0,266347.0,256506.0,256958.0,,,,264209.0,,,261154.0,165951.0,216583.0,158961.0,260823.0,232077.0,233192.0,219568.0,,194512.0,207836.0,268767.0,256958.0,,264209.0
712.5363@11.254002,712.5363@11.254002,,712.5363,11.254002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16126.0,,,,,,,16030.0,,15537.0,,,36271.0,23678.0,98286.0,44423.0,,,,17636.0,19419.0,,,,,,,,,16126.0,,,15784.0,36271.0,44423.0,,18528.0
712.5611@14.203002,712.5611@14.203002,,712.5611,14.203002,,,,86812.0,,36031.0,30993.0,77679.0,16205.0,66520.0,66030.0,143633.0,68495.0,80230.0,122758.0,137714.0,58838.0,74286.0,65109.0,93210.0,94947.0,56385.0,71405.0,186477.0,81227.0,86877.0,99421.0,42076.0,16249.0,8236.0,,41772.0,42217.0,41657.0,32558.0,47157.0,23168.0,,47003.0,,36705.0,58737.0,26970.0,28782.0,53447.0,33622.0,65253.0,115952.0,33007.0,74594.0,22323.0,61422.0,30993.0,66520.0,80230.0,74286.0,93210.0,71405.0,16249.0,41994.0,41657.0,35086.0,47721.0,28782.0,65253.0,33007.0
712.647@15.10999,712.647@15.10999,,712.6469999999999,15.10999,,,,47277.0,,,,,,,,,,,,,,,,,68207.0,,,,,,,237652.0,575389.0,1024406.0,,110967.0,247657.0,362535.0,37247.0,39276.0,179866.0,133580.0,187639.0,57924.0,42501.0,,144822.0,236771.0,95839.0,,,,45990.0,,281564.0,47277.0,,,,,68207.0,,575389.0,179312.0,39276.0,179866.0,50212.0,144822.0,,163777.0
714.4335@11.109993,714.4335@11.109993,,714.4335,11.109993,,,,,,,,,,,,,,,,,,,,,,,,,,,,68702.0,47712.0,,,,,,,,,,,,,25070.0,,41268.0,85312.0,,190161.0,,141571.0,,,,,,,,,,58207.0,,,,25070.0,63290.0,190161.0,141571.0
714.5432@12.674994,714.5432@12.674994,,714.5432,12.674994,,,,69355.0,53639.0,,24217.0,,50529.0,,,52548.0,,,,,51198.0,,,,27562.0,,,,24741.0,,,91854.0,54223.0,,,,68594.0,,,,59266.0,,,,,41819.0,,,57963.0,,,,43551.0,,19758.0,61497.0,37373.0,52548.0,,51198.0,27562.0,,73038.0,68594.0,,59266.0,41819.0,57963.0,,31654.0
714.6528@15.205002,714.6528@15.205002,,714.6528,15.205001999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,40189.0,118439.0,49097.0,,,33875.0,19406.0,,,,,,,,,,22562.0,,,,,,,,,,,,,,,49097.0,33875.0,19406.0,,,22562.0,,
715.4144@12.192996,715.4144@12.192996,,715.4144,12.192996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12901.0,47694.0,,,71351.0,18101.0,,,47609.0,15861.0,44412.0,,,,,47915.0,21276.0,,,,,,,,,,,,,,30298.0,71351.0,18101.0,44412.0,,34596.0,,
715.6437@14.205995,715.6437@14.205995,,715.6437,14.205995000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,75978.0,202597.0,236233.0,,73124.0,87337.0,189759.0,,,68039.0,29039.0,80645.0,,,,36668.0,38539.0,24134.0,,,,,,86943.0,,,,,,,,202597.0,80230.0,189759.0,68039.0,,36668.0,,86943.0
716.2823@7.8139973,716.2823@7.8139973,,716.2823,7.8139973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16281.0,,,,,,,,,,13870.0,13134.0,15253.0,12731.0,15318.0,13710.0,23629.0,,,,,,,,,,,,16281.0,,,13870.0,13134.0,15318.0,
716.4218@10.4030075,716.4218@10.4030075,,716.4218,10.4030075,,,,,,,354821.0,277094.0,,196985.0,,,,952385.0,763330.0,887942.0,,273190.0,532771.0,203382.0,,327003.0,,,,,,,,,,,193651.0,,,,,,,,1273270.0,1707519.0,2174564.0,2314146.0,2245909.0,,681455.0,,1046170.0,964232.0,820691.0,,315958.0,196985.0,857858.0,580566.0,368076.0,327003.0,,193651.0,,,1490394.0,2245909.0,681455.0,964232.0
716.4426@11.226006,716.4426@11.226006,,716.4426,11.226006,,,,,,,,,,,,,,,,,,,,,,,,,,,,24268.0,31071.0,48079.0,,26682.0,56250.0,39590.0,51213.0,33252.0,62698.0,44196.0,86971.0,,42346.0,32050.0,60728.0,39570.0,49241.0,,37629.0,45528.0,47893.0,36247.0,,,,,,,,,31071.0,41466.0,39590.0,62698.0,37198.0,49241.0,41578.0,42070.0
716.536@14.284996,716.536@14.284996,,716.5360000000001,14.284996,,,,411310.0,516771.0,269445.0,426347.0,431324.0,103126.0,91459.0,44954.0,239857.0,302667.0,265475.0,264129.0,276061.0,411524.0,275087.0,,494211.0,306298.0,,103311.0,269964.0,,289992.0,59654.0,704632.0,352162.0,617370.0,,,,223593.0,,,312948.0,115342.0,106357.0,227948.0,260715.0,329337.0,310542.0,409418.0,468852.0,46566.0,,50613.0,282977.0,386785.0,539006.0,411310.0,426347.0,91459.0,265475.0,276061.0,400254.0,186638.0,617370.0,,223593.0,115342.0,260715.0,409418.0,48590.0,386785.0
717.3172@11.812994,717.3172@11.812994,,717.3172,11.812994,,,,,,,,,,,,,,,,,,,,,,,,,,,,116723.0,123488.0,,,,,,,,,,,,,,,,51634.0,,,,,,,,,,,,,,120106.0,,,,,51634.0,,
717.6129@14.1749935,717.6129@14.1749935,,717.6129,14.1749935,,,,,,,,,,,,,,,,,,,,,,,,,,,,76227.0,127768.0,113238.0,,,,27042.0,,,,,,,,,,,,,,,,,92845.0,,,,,,,,113238.0,,27042.0,,,,,92845.0
718.0964@1.2439996,718.0964@1.2439996,,718.0964,1.2439996000000002,,,,23285.0,18305.0,29761.0,21837.0,18616.0,12847.0,26212.0,23001.0,21895.0,22901.0,22749.0,18057.0,,13442.0,13010.0,16028.0,14276.0,20683.0,20361.0,20701.0,18525.0,16872.0,13287.0,20120.0,,,,,,,,,,,,,,,,,,12748.0,,,,,,,23285.0,18616.0,23001.0,22749.0,13226.0,16028.0,20361.0,,,,,,12748.0,,
718.5428@14.883994,718.5428@14.883994,,718.5428,14.883994,,,,35136.0,75720.0,137151.0,98601.0,167556.0,,,,,38941.0,,,44327.0,41951.0,64659.0,,97034.0,,,,60514.0,,34927.0,,318129.0,81892.0,55767.0,,,,,,,162290.0,42669.0,46987.0,,,35272.0,,,62884.0,,,,,79340.0,225035.0,75720.0,133078.0,,38941.0,44327.0,97034.0,60514.0,81892.0,,,46987.0,35272.0,62884.0,,152188.0
719.6284@14.382997,719.6284@14.382997,,719.6284,14.382997,,,,,,,,,,,,,,,,,,,,,,,,,,,,61571.0,161501.0,227651.0,,,,42291.0,,,,,,,,,,,,,,,,,74628.0,,,,,,,,161501.0,,42291.0,,,,,74628.0
720.3891@11.913,720.3891@11.913,,720.3891,11.913,,,,40435.0,26782.0,60688.0,36667.0,22610.0,30882.0,34930.0,28501.0,34665.0,34573.0,34822.0,24956.0,51636.0,62149.0,41713.0,719617.0,30538.0,67259.0,36571.0,110383.0,57750.0,20581.0,21512.0,27425.0,223381.0,332198.0,340837.0,102256.0,408863.0,472492.0,189227.0,327652.0,164923.0,158780.0,184890.0,185727.0,124332.0,172155.0,325383.0,394838.0,465561.0,408389.0,208906.0,354954.0,335390.0,152556.0,132108.0,70479.0,40435.0,30882.0,34665.0,34573.0,51636.0,67259.0,57750.0,332198.0,408863.0,189227.0,184890.0,172155.0,408389.0,335390.0,132108.0
720.3958@11.416995,720.3958@11.416995,,720.3958,11.416995,,,,123139.0,126189.0,111058.0,108396.0,77458.0,141222.0,62201.0,37007.0,79863.0,69528.0,56413.0,58138.0,30213.0,234204.0,168151.0,73724.0,109416.0,84395.0,45677.0,91497.0,54127.0,56762.0,214827.0,64586.0,76158.0,95780.0,12662.0,99193.0,93157.0,470761.0,189227.0,31919.0,64836.0,157713.0,32215.0,185727.0,40989.0,55246.0,95953.0,89329.0,78126.0,67534.0,86355.0,86650.0,149345.0,132019.0,75724.0,21848.0,123139.0,108396.0,62201.0,58138.0,168151.0,84395.0,54127.0,76158.0,99193.0,64836.0,157713.0,55246.0,78126.0,86650.0,75724.0
720.4442@9.247993,720.4442@9.247993,,720.4442,9.247993,,,,,,,,,,,,,,,,,,,,,,,,,,,,86119.0,82943.0,,,,,,,,,,,,,,,,,,67483.0,,,,,,,,,,,,84531.0,,,,,,67483.0,
721.2669@10.576998,721.2669@10.576998,,721.2669,10.576998,,,,39951.0,38878.0,34838.0,,,27228.0,28344.0,,43688.0,37971.0,35836.0,37028.0,,39947.0,34361.0,25708.0,,29582.0,,31836.0,,31664.0,29744.0,34070.0,33740.0,32943.0,30457.0,,41504.0,,,,33543.0,,,,45243.0,52503.0,48582.0,,,,37496.0,,44073.0,42567.0,45175.0,46444.0,38878.0,27228.0,36016.0,37028.0,37154.0,27645.0,31836.0,32943.0,41504.0,33543.0,,48582.0,,40784.0,45175.0
721.6675@15.01501,721.6675@15.01501,,721.6675,15.01501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69721.0,115705.0,,,,47615.0,,,,,,,,,,,,,,,,,27880.0,,,,,,,,92713.0,,47615.0,,,,,27880.0
722.4694@12.189002,722.4694@12.189002,,722.4694,12.189002,,,,24541.0,,33964.0,,,,,,,21347.0,18378.0,13499.0,30231.0,32867.0,30693.0,17168.0,,41153.0,18090.0,25432.0,44772.0,21594.0,36020.0,25836.0,51852.0,45526.0,47200.0,,,64471.0,43571.0,35885.0,31543.0,63637.0,49099.0,54841.0,12913.0,20797.0,42131.0,39969.0,59982.0,49463.0,,,18994.0,45262.0,62510.0,67437.0,29252.0,,,18378.0,30693.0,29160.0,25432.0,47200.0,64471.0,35885.0,54841.0,20797.0,49463.0,18994.0,62510.0
722.4738@10.849,722.4738@10.849,,722.4738,10.849,,,,718921.0,684603.0,753728.0,707364.0,406149.0,664051.0,702391.0,639607.0,719083.0,757951.0,713166.0,594988.0,629535.0,901538.0,661944.0,593057.0,299219.0,669905.0,585654.0,762549.0,798171.0,643415.0,685412.0,664653.0,588346.0,901840.0,954806.0,,1177509.0,872754.0,683273.0,911715.0,807611.0,690691.0,846363.0,714035.0,697040.0,872509.0,1126117.0,881187.0,879405.0,909268.0,806829.0,723604.0,951800.0,767073.0,789103.0,695306.0,718921.0,664051.0,702391.0,713166.0,661944.0,593057.0,762549.0,901840.0,1025132.0,807611.0,714035.0,872509.0,881187.0,806829.0,767073.0
724.3945@11.2219925,724.3945@11.2219925,,724.3945,11.2219925,,,,115439.0,103833.0,174263.0,155145.0,101738.0,143309.0,106825.0,88356.0,129480.0,139308.0,122146.0,93159.0,100317.0,125198.0,99959.0,111848.0,64213.0,129126.0,91530.0,120012.0,142137.0,98541.0,100259.0,97426.0,254085.0,420210.0,165289.0,56081.0,493678.0,115462.0,108140.0,189650.0,264366.0,178255.0,310477.0,278077.0,115372.0,219551.0,363844.0,358900.0,426320.0,397968.0,175553.0,220529.0,318122.0,256609.0,421679.0,124050.0,115439.0,143309.0,106825.0,122146.0,100317.0,111848.0,120012.0,254085.0,115462.0,189650.0,278077.0,219551.0,397968.0,220529.0,256609.0
724.5717@11.243003,724.5717@11.243003,,724.5717,11.243003,,,,64433.0,51875.0,71095.0,47634.0,34425.0,54432.0,69897.0,55218.0,74912.0,77741.0,68132.0,61283.0,48033.0,83979.0,50290.0,82034.0,51337.0,100872.0,59217.0,78472.0,84883.0,81718.0,80904.0,78870.0,75889.0,92419.0,35705.0,,82206.0,19327.0,14986.0,26086.0,73749.0,39139.0,48518.0,37227.0,119514.0,137832.0,198623.0,118462.0,110080.0,101172.0,115210.0,106398.0,189679.0,132967.0,163222.0,122269.0,64433.0,47634.0,69897.0,68132.0,50290.0,82034.0,78472.0,75889.0,50766.0,26086.0,39139.0,137832.0,110080.0,115210.0,132967.0
725.3195@15.318992,725.3195@15.318992,,725.3195,15.318992000000001,,,,,43682.0,,,,,,,,,,,,,,,,,,,,,,,,,57880.0,,,44801.0,,,,,,38635.0,,,112533.0,124697.0,76793.0,29045.0,,,91721.0,,77446.0,,43682.0,,,,,,,57880.0,44801.0,,38635.0,112533.0,76793.0,91721.0,77446.0
725.3214@14.843002,725.3214@14.843002,,725.3214,14.843001999999998,,,,,43682.0,,,,,,,,,,,,,,,,,,,,,,,,,85012.0,,,123785.0,,,,119801.0,116707.0,74382.0,,,112533.0,124697.0,79229.0,29045.0,,,91721.0,,77446.0,,43682.0,,,,,,,85012.0,123785.0,,116707.0,112533.0,79229.0,91721.0,77446.0
725.4697@12.682002,725.4697@12.682002,,725.4697,12.682002,,,,448785.0,342208.0,,,,157533.0,,,,,175068.0,,,,,286634.0,,,,,,,,,324581.0,,,,325390.0,,258143.0,,,,,,,,,348853.0,,358988.0,,292416.0,295573.0,311170.0,314800.0,,395496.0,157533.0,,175068.0,,286634.0,,324581.0,325390.0,258143.0,,,353920.0,293994.0,312985.0
725.6381@14.568992,725.6381@14.568992,,725.6381,14.568992000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,41767.0,60697.0,64637.0,,,29659.0,44270.0,,,23369.0,21247.0,40065.0,,,,19168.0,44535.0,,,,,,,37557.0,,,,,,,,60697.0,29659.0,44270.0,23369.0,,31852.0,,37557.0
725.663@14.797995,725.663@14.797995,,725.663,14.797995000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,71717.0,129861.0,252264.0,,106061.0,44584.0,203228.0,,35861.0,,82176.0,43663.0,41955.0,30433.0,,59443.0,35882.0,71348.0,,,,,,96047.0,,,,,,,,129861.0,75322.0,119544.0,62920.0,36194.0,59443.0,,96047.0
725.6694@14.804994,725.6694@14.804994,,725.6694,14.804994,,,,,,,,,,,,,,,,,,,,,,,,,,,,54142.0,158598.0,251026.0,,103709.0,147456.0,201758.0,,31125.0,88665.0,92581.0,107064.0,41610.0,31246.0,,90844.0,62621.0,70973.0,,,,,,96047.0,,,,,,,,158598.0,125582.0,116442.0,92581.0,36428.0,70973.0,,96047.0
726.5756@14.244996,726.5756@14.244996,,726.5756,14.244995999999999,,,,41571.0,,,,,,,,,,,,,,,,,64539.0,,,,,,,217682.0,243077.0,511844.0,,118993.0,137211.0,230014.0,36837.0,63560.0,169536.0,59767.0,145641.0,,38267.0,,136785.0,127845.0,80073.0,,56047.0,,145045.0,,225942.0,41571.0,,,,,64539.0,,243077.0,128102.0,63560.0,145641.0,38267.0,127845.0,56047.0,185494.0
726.6618@15.215008,726.6618@15.215008,,726.6618,15.215008,,,,,,,,,,,,,,,,,,,,,,,,,,,,44623.0,154781.0,224100.0,,20826.0,34428.0,68848.0,,,35191.0,22889.0,28734.0,,,,19223.0,32019.0,,,,,,,38445.0,,,,,,,,154781.0,27627.0,68848.0,28734.0,,25621.0,,38445.0
728.5199@12.211998,728.5199@12.211998,,728.5199,12.211998,,,,,,10877.0,,,,13162.0,14252.0,,22052.0,19512.0,13528.0,23472.0,18045.0,28401.0,14337.0,,,16181.0,25803.0,23357.0,19148.0,22562.0,22392.0,30977.0,25676.0,71435.0,,23048.0,95930.0,44624.0,33517.0,37020.0,73841.0,49074.0,59066.0,28406.0,34053.0,79535.0,39351.0,62759.0,33314.0,16897.0,,20241.0,17053.0,36317.0,57892.0,10877.0,,13707.0,19512.0,23472.0,14337.0,23357.0,30977.0,59489.0,37020.0,59066.0,34053.0,39351.0,18569.0,36317.0
729.6603@14.372991,729.6603@14.372991,,729.6603,14.372991,,,,,,,,,,,,,,,,,,,,,,,,,,,,73691.0,178602.0,454031.0,,68381.0,84259.0,158879.0,,,65926.0,,82023.0,,,,,,,,,,,,89062.0,,,,,,,,178602.0,76320.0,158879.0,73974.0,,,,89062.0
730.2175@10.812004,730.2175@10.812004,,730.2175,10.812004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42129.0,79987.0,,,,,,,,,,,,,,,,61058.0
730.4038@11.113003,730.4038@11.113003,,730.4038,11.113002999999999,,,,103604.0,86389.0,130650.0,63566.0,32834.0,76379.0,27349.0,,48759.0,,,68557.0,,49127.0,,28872.0,,37272.0,,31054.0,,,,,95403.0,235384.0,38037.0,,48516.0,,,,,,,,,,35348.0,73961.0,217228.0,63705.0,,,,48043.0,,,103604.0,63566.0,38054.0,68557.0,49127.0,33072.0,31054.0,95403.0,48516.0,,,35348.0,73961.0,,48043.0
730.443@10.587003,730.443@10.587003,,730.443,10.587003,,,,192267.0,193822.0,202634.0,194403.0,111120.0,173732.0,206318.0,193160.0,169216.0,182666.0,178073.0,162095.0,182828.0,218652.0,149438.0,194461.0,107653.0,186449.0,163941.0,193937.0,197782.0,199382.0,161607.0,193262.0,144598.0,176274.0,203334.0,,231272.0,226670.0,174135.0,201527.0,174100.0,168889.0,187595.0,169094.0,167611.0,198304.0,197795.0,184956.0,165339.0,181084.0,180707.0,176602.0,214375.0,155870.0,154734.0,169643.0,193822.0,173732.0,193160.0,178073.0,182828.0,186449.0,193937.0,176274.0,228971.0,174135.0,169094.0,197795.0,181084.0,180707.0,155870.0
731.4328@14.309004,731.4328@14.309004,,731.4328,14.309004000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147891.0,1755607.0,363138.0,,248172.0,,,,,,111973.0,,,244303.0,224146.0,638256.0,723897.0,619068.0,,,,,,,,,,,,,,1147891.0,248172.0,,111973.0,234224.0,638256.0,,
731.5445@14.276,731.5445@14.276,,731.5445,14.276,,,,,287946.0,,,,,,,,,,264621.0,250473.0,694492.0,,,387533.0,,,253720.0,,,,,5339688.0,1575755.0,4008462.0,,192500.0,,1030393.0,2931384.0,,,,2047500.0,371932.0,,,,2022401.0,3059756.0,2539282.0,2483873.0,674134.0,,,500331.0,287946.0,,,264621.0,472482.0,387533.0,253720.0,4008462.0,192500.0,1980888.0,2047500.0,371932.0,2541078.0,2483873.0,500331.0
733.3078@10.765998,733.3078@10.765998,,733.3078,10.765998,,,,,,,,,,,,,,,,,,,,,,,,,,,,60014.0,92944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76479.0,,,,,,,
733.6019@14.562006,733.6019@14.562006,,733.6019,14.562006,,,,39672.0,,,,,,,,,,,,,,,,,,,,,,,,106856.0,142123.0,163852.0,,,,,,,,,,,,,,,,,,,,,,39672.0,,,,,,,142123.0,,,,,,,
734.5673@14.635991,734.5673@14.635991,,734.5673,14.635991,,,,60144.0,50265.0,50584.0,139777.0,271907.0,52044.0,,,,28325.0,,,,32445.0,44972.0,,97709.0,,,,25196.0,,,,569973.0,182354.0,104947.0,,38916.0,131048.0,66969.0,112274.0,139339.0,137560.0,,121120.0,26865.0,,,,,99773.0,384931.0,11095.0,244861.0,,,82939.0,50584.0,139777.0,,28325.0,38708.0,97709.0,25196.0,182354.0,84982.0,112274.0,129340.0,26865.0,99773.0,244861.0,82939.0
737.5766@14.222995,737.5766@14.222995,,737.5766,14.222995000000001,,,,,,,,,,,25413.0,,25114.0,,,,,31403.0,25279.0,39528.0,,,24322.0,30183.0,25077.0,23540.0,36642.0,299616.0,,,,,,,,,,,,,,,87667.0,166502.0,,,,35879.0,,36055.0,,,,25413.0,25114.0,31403.0,32404.0,27252.0,299616.0,,,,,127084.0,35879.0,36055.0
737.6744@14.616008,737.6744@14.616008,,737.6744,14.616007999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,71576.0,132269.0,189385.0,,134974.0,150090.0,227081.0,31622.0,44386.0,128422.0,89620.0,135608.0,39732.0,37316.0,,94026.0,76788.0,70561.0,,,,,,108621.0,,,,,,,,132269.0,142532.0,44386.0,128422.0,38524.0,76788.0,,108621.0
738.4672@10.351995,738.4672@10.351995,,738.4672,10.351995,,,,239262.0,206602.0,213847.0,181846.0,155477.0,193015.0,170230.0,187107.0,199382.0,184255.0,177432.0,182196.0,186236.0,239244.0,209958.0,187145.0,130544.0,178105.0,181083.0,185144.0,238462.0,148232.0,183364.0,152936.0,164602.0,262302.0,260235.0,,335728.0,227732.0,208781.0,226874.0,234419.0,167351.0,236269.0,168751.0,214136.0,266285.0,275014.0,226662.0,240770.0,227431.0,245433.0,211745.0,237561.0,186517.0,209475.0,198812.0,213847.0,181846.0,187107.0,182196.0,209958.0,178105.0,185144.0,260235.0,281730.0,226874.0,168751.0,266285.0,227431.0,237561.0,198812.0
739.5112@15.270997,739.5112@15.270997,,739.5112,15.270997,,,,49908.0,88031.0,29731.0,,,52911.0,,,56214.0,17259.0,,,21919.0,,,67262.0,,95163.0,,69625.0,56760.0,55917.0,,61574.0,,,393420.0,,39365.0,230281.0,223620.0,65219.0,57968.0,286169.0,122529.0,342532.0,,57007.0,39011.0,29590.0,,14182.0,,,,65629.0,,,49908.0,52911.0,56214.0,17259.0,21919.0,81212.0,63192.0,393420.0,134823.0,65219.0,286169.0,48009.0,21886.0,,65629.0
739.5321@15.250996,739.5321@15.250996,,739.5321,15.250995999999999,,,,,,,,,,,,,38004.0,,,41039.0,,,,,,,20347.0,32787.0,,,,,,444668.0,,30415.0,172550.0,191648.0,42812.0,28916.0,310988.0,116656.0,242737.0,,,,37079.0,36111.0,,,,,,,,,,,38004.0,41039.0,,26567.0,444668.0,101482.0,42812.0,242737.0,,36595.0,,
739.6546@14.801006,739.6546@14.801006,,739.6546,14.801006,,,,,,,,,,,,,,,,,,,,,,,,,,,,28363.0,71499.0,93673.0,,16218.0,28155.0,44121.0,,,21859.0,18262.0,22120.0,,,,17530.0,26498.0,19641.0,,,,,,29240.0,,,,,,,,71499.0,22186.0,44121.0,21859.0,,19641.0,,29240.0
739.6696@15.015996,739.6696@15.015996,,739.6696,15.015996,,,,,,,,,,,,,,,,,,,,,32409.0,,,,,,,59359.0,16541.0,34441.0,,97240.0,153938.0,49628.0,,44116.0,65648.0,33308.0,125205.0,,,,34719.0,34666.0,85891.0,,,,24072.0,,78846.0,,,,,,32409.0,,34441.0,125589.0,46872.0,65648.0,,34719.0,,51459.0
740.1301@6.269001,740.1301@6.269001,,740.1301,6.269001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44234.0,47902.0,44219.0,,,,71834.0,74960.0,63409.0,,,,,,,,,,,,,44234.0,,71834.0
740.5481@14.270997,740.5481@14.270997,,740.5481,14.270997,,,,45347.0,38621.0,499097.0,463451.0,386528.0,277534.0,85907.0,,176738.0,582172.0,436764.0,320998.0,656900.0,348560.0,356891.0,289939.0,247356.0,458696.0,246998.0,,459660.0,283251.0,,239942.0,877914.0,347086.0,907670.0,,,730970.0,413587.0,91237.0,,1042170.0,386010.0,,428727.0,230085.0,733483.0,888134.0,859826.0,1004204.0,49234.0,,,330596.0,,1128793.0,45347.0,386528.0,131322.0,436764.0,356891.0,289939.0,353329.0,877914.0,730970.0,252412.0,714090.0,428727.0,888134.0,49234.0,729694.0
